Nitrogen Level,Phosphorous Level,Potassium Level,Temperature (°C),pH Level,Crop Selected,Yield Rate,Crop Rotation Plan,Irrigation Plan
54.31767293,15.85231603,91.39336991,30.727775,8.310509707,sugarcane,1.566195918,Sugarcane-Pulse Rotation,Rainfed with supplementary irrigation
110.1233136,12.25718362,45.02206418,23.00653869,5.700193154,groundnut,5.795465254,Groundnut-Maize Rotation,Drip irrigation
73.43857729,17.17659285,29.6217177,16.83755843,8.004027277,sorghum,4.538957623,Sorghum-Chickpea Rotation,Micro-irrigation
70.75838309,24.63845819,29.43017259,21.93104493,5.842929401,pearl_millet,1.413790077,Pearl Millet-Pulse Rotation,Micro-irrigation
83.95587508,59.52862663,54.45237292,38.63468278,6.670478986,soyabean,1.602212783,Soybean-Wheat Rotation,Alternate furrow irrigation
132.6384331,63.85227748,56.56447817,31.76318516,7.924030199,castor,5.516024886,Castor-Millet Rotation,Alternate furrow irrigation
37.81047995,24.94955859,51.74310271,30.33489855,6.501704907,castor,3.421074041,Castor-Millet Rotation,Micro-irrigation
48.82699943,67.58426773,32.72940214,15.00379195,8.086311624,castor,5.30399312,Castor-Millet Rotation,Drip irrigation
149.4567399,60.2649417,48.42236515,17.45676338,6.235172025,cotton,2.590058456,Cotton-Legume Rotation,Micro-irrigation
75.2022902,27.12348754,37.01005113,36.24789962,7.326535907,safflower,2.61450481,Safflower-Pulse Rotation,Micro-irrigation
57.52385455,28.73002483,88.57652007,15.84164712,7.78238689,barley,1.320285596,Barley-Pulse Rotation,Rainfed with supplementary irrigation
135.5003257,18.03508362,80.45490372,22.89256865,8.173190292,sesamum,2.595932321,,Rainfed with supplementary irrigation
109.0354652,66.92768762,14.61108477,29.90768484,8.422908404,sesamum,2.084600844,,Sprinkler irrigation
76.37554551,39.03934327,94.79789367,27.52358766,5.863458885,maize,5.650772935,Maize-Legume Rotation,Drip irrigation
83.79090492,46.88491593,71.48721092,35.099071,8.045462325,pigeonpea,4.048014702,Pigeonpea-Cereal Rotation,Flood irrigation
118.2070842,11.44942339,86.30347767,38.33369522,5.816346841,groundnut,3.813324746,Groundnut-Maize Rotation,Subsurface drip irrigation
105.7463569,29.93852776,19.21807764,27.0962309,7.173876148,finger_millet,4.636072402,Finger Millet-Legume Rotation,Flood irrigation
36.74582608,59.05321483,69.31653778,36.65078131,8.473136675,sugarcane,3.630556094,Sugarcane-Pulse Rotation,Flood irrigation
147.4218882,71.33053788,38.49843197,18.84586158,6.601645143,finger_millet,3.733775404,Finger Millet-Legume Rotation,Rainfed with supplementary irrigation
140.4098855,67.35682797,39.41434716,28.53045812,6.240867938,pigeonpea,4.183817969,Pigeonpea-Cereal Rotation,Subsurface drip irrigation
142.0750195,10.06880482,53.81942047,22.03248617,8.387220125,sugarcane,1.625006875,Sugarcane-Pulse Rotation,Drip irrigation
134.676911,32.23430671,78.55958602,31.71444887,5.605119396,pigeonpea,4.207540755,Pigeonpea-Cereal Rotation,Sprinkler irrigation
42.7489494,30.88952723,33.03781735,21.53144929,6.386295451,sesamum,3.456702952,,Drip irrigation
117.3433442,68.38828955,57.20105769,18.54143582,6.285701653,soyabean,3.469030906,Soybean-Wheat Rotation,Rainfed with supplementary irrigation
