,MAE,MSE,RMSE,R2 Score
rice,44.46071764150452,12414.56651402766,111.42067363836776,0.9908444478279923
wheat,39.715306464630515,10797.230495663202,103.9097228158328,0.9928626043223887
kharif_sorghum,18.4038948834179,3943.472520368627,62.797074138598425,0.9839105125665687
rabi_sorghum,20.14320994547339,18931.80354705028,137.592890612307,0.9215557984153314
sorghum,25.28618038449326,9036.34899668438,95.05971279508675,0.9658112096719225
pearl_millet,31.891274463936938,12980.14020822936,113.93041827461778,0.959314592966828
maize,51.93827745329327,26764.67295143186,163.59912270984788,0.9828864795390793
finger_millet,20.368858882466164,8452.374521863063,91.93679634326543,0.9633247658901062
barley,35.96687787767999,14397.598407740776,119.98999294833206,0.9798557775465667
chickpea,23.599045643227424,4034.1435182418873,63.514907842504876,0.9809987810117049
pigeonpea,24.823211441641376,8749.220396429477,93.5372674201544,0.9623097196659799
minor_pulses,22.87099647161989,44041.53853285407,209.86075986914292,0.8290243073507113
groundnut,32.126982605227,9736.971487374867,98.67609379872547,0.9767131346886522
sesamum,12.818402763937673,5657.725103392862,75.21785096234046,0.8972151004232732
rapeseed_and_mustard,19.766107041239042,3437.4836937549458,58.63005793750289,0.9838304610710384
safflower,4.421298626322671,818.0488981015081,28.601554120388425,0.9601287657704592
castor,11.234227913370166,3314.366027556393,57.57053089521055,0.9691574268000694
linseed,8.225432846548397,1720.7900133721892,41.48240607019064,0.9670812675971318
sunflower,18.245472796008297,3777.802918066738,61.46383422848544,0.9801060776423351
soyabean,15.814196434827316,4473.418600125343,66.8836198192453,0.969229968488823
oilseeds,23.48789494809414,18026.46279615411,134.2626634480119,0.9433524953343329
sugarcane,160.78835322052834,201946.7276306802,449.38483244395354,0.9798781879643431
cotton,6.644696625703159,1830.5187728799172,42.78456231960212,0.9324867490233443
